available_spots,capacity,prefix,course_number,type,section,title,credits,time,days,room,building,spec,instructor,session,additional_meet_times,additional_meet_days,additional_notes
16,24,MATH,1021,,113,COLLEGE ALGEBRA,3.0,930-1020,TH,0239,LOCKETT,,GARDNER J,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 113
20,20,MATH,1021,,8,COLLEGE ALGEBRA,3.0,1030-1120,TH,0277,LOCKETT,,BHATTACHARJEE,Normal,TBA,,
18,22,MATH,1021,,114,COLLEGE ALGEBRA,3.0,1030-1120,TH,0239,LOCKETT,,GOINGS S,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 114
18,22,MATH,1021,,115,COLLEGE ALGEBRA,3.0,1130-1220,TH,0239,LOCKETT,,MONDAL K,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 115
6,34,MATH,1021,,10,COLLEGE ALGEBRA,3.0,1230-0120,TH,0277,LOCKETT,,MIZELL M,Normal,TBA,,
21,19,MATH,1021,,116,COLLEGE ALGEBRA,3.0,1230-0120,TH,0239,LOCKETT,,OKEMWA E,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 116
25,15,MATH,1021,,117,COLLEGE ALGEBRA,3.0,130-0220,TH,0239,LOCKETT,,PANDEY M,Normal,TBA,,THIS SECTION IS LINKED TO MATH 1020 117
22,18,MATH,1021,,12,COLLEGE ALGEBRA,3.0,130-0220,F,0277,LOCKETT,,AGBOLADE O,Normal,TBA,,
5,45,MATH,1021,,51,COLLEGE ALGEBRA,3.0,TBA,,,,75-99% WEB BASE,GIZZI S,Normal,TBA,,WORLD WIDE WEB-BASED DELIVERY
4,36,MATH,1022,,1,PLANE TRIGONOMETRY,3.0,730-0820,T,0237,LOCKETT,,REYNOSO T,Normal,TBA,,
5,35,MATH,1022,,2,PLANE TRIGONOMETRY,3.0,830-0920,T,0237,LOCKETT,,REYNOSO T,Normal,TBA,,
4,36,MATH,1022,,3,PLANE TRIGONOMETRY,3.0,930-1020,T,0237,LOCKETT,,BIST K,Normal,TBA,,
44,131,MATH,1022,,4,PLANE TRIGONOMETRY,3.0,1030-1120,T,B015,LOCKETT,,KURTZ S,Normal,TBA,,
4,36,MATH,1022,,5,PLANE TRIGONOMETRY,3.0,1030-1120,T,0237,LOCKETT,,BIST K,Normal,TBA,,
